year,tmID,playoff,GP,GS,minutes,points,oRebounds,dRebounds,assists,round,tmIDWinner,tmIDLoser,W,L,post_W,post_L,award,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,GS,minutes,points,oRebounds,dRebounds,assists
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,4,0,9,4,1,3,0
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,4,0,51,26,7,4,1
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,8,0,55,17,2,4,3
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,15,0,66,25,3,5,10
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,16,0,85,17,2,12,1
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,23,0,213,34,0,9,24
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,30,3,602,157,36,102,37
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,32,0,619,262,10,42,51
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,32,29,752,226,29,68,19
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,32,32,939,353,23,84,87
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,32,32,974,207,29,89,203
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,32,32,980,342,23,69,83
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,32,32,1049,489,89,168,34
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,1,0,1,0,0,2,0
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,4,0,7,0,0,0,0
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,4,0,10,2,0,0,0
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,22,20,609,286,21,61,60
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,24,0,286,63,1,15,32
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,29,0,209,63,20,35,17
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,31,1,351,76,15,51,24
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,32,32,996,410,104,202,80
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,32,32,1003,525,38,83,79
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,33,3,359,83,12,24,19
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,33,33,861,296,17,105,153
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,34,2,777,377,59,124,46
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,34,13,615,182,20,53,80
7,CON,Y,1,0,1,0,0,2,0,FR,CON,WAS,2,0,3,2,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,34,34,743,320,35,171,40
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,22,0,190,42,13,24,14
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,24,4,150,36,9,14,12
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,26,0,171,42,7,17,5
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,33,0,521,149,15,42,35
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,34,0,769,263,30,77,56
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,34,9,470,111,15,31,29
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,34,21,740,307,61,88,47
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,34,34,724,267,17,53,43
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,34,34,986,430,61,126,52
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,34,34,1015,469,92,156,46
4,SAC,Y,26,0,171,42,7,17,5,FR,SAC,HOU,2,1,3,3,,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,34,34,1089,183,29,90,229
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,6,0,39,10,2,3,3
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,22,22,332,74,3,16,16
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,28,0,235,49,10,8,11
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,30,0,231,77,14,20,5
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,33,32,970,199,14,88,163
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,34,0,480,140,35,36,25
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,34,1,494,151,42,80,19
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,34,4,469,160,17,32,31
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,34,10,827,294,12,65,68
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,34,33,908,380,46,92,50
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,34,34,884,284,72,71,86
5,SAC,Y,30,0,231,77,14,20,5,FR,SAC,LAS,2,1,3,3,,874,2072,435,604,129,365,389,635,1024,519,641,314,485,118,2312,803,1872,474,631,161,458,310,676,986,513,646,241,593,117,2241,34,34,1031,494,122,124,42
8,SAS,Y,11,1,86,28,6,14,3,FR,SAS,SAC,2,1,2,3,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,11,1,86,28,6,14,3
8,SAS,Y,11,1,86,28,6,14,3,FR,SAS,SAC,2,1,2,3,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,14,1,73,16,4,4,4
8,SAS,Y,11,1,86,28,6,14,3,FR,SAS,SAC,2,1,2,3,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,23,0,128,27,16,24,7
8,SAS,Y,11,1,86,28,6,14,3,FR,SAS,SAC,2,1,2,3,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,28,27,934,527,8,69,140
8,SAS,Y,11,1,86,28,6,14,3,FR,SAS,SAC,2,1,2,3,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,30,29,773,176,32,116,37
8,SAS,Y,11,1,86,28,6,14,3,FR,SAS,SAC,2,1,2,3,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,30,29,852,243,51,93,104
8,SAS,Y,11,1,86,28,6,14,3,FR,SAS,SAC,2,1,2,3,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,33,19,684,134,7,62,103
8,SAS,Y,11,1,86,28,6,14,3,FR,SAS,SAC,2,1,2,3,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,33,33,1106,553,72,121,51
8,SAS,Y,11,1,86,28,6,14,3,FR,SAS,SAC,2,1,2,3,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,34,7,711,132,57,95,23
8,SAS,Y,11,1,86,28,6,14,3,FR,SAS,SAC,2,1,2,3,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,34,12,481,164,33,48,28
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,1,0,5,0,2,0,0
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,18,0,102,12,3,12,14
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,18,0,148,54,8,27,4
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,22,0,372,100,11,32,30
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,26,0,225,55,11,17,14
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,29,21,602,196,51,78,11
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,30,8,580,163,34,87,17
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,30,24,678,171,36,65,50
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,32,11,623,191,48,65,14
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,32,32,1006,450,39,98,88
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,32,32,1007,365,55,98,46
2,CHA,Y,18,0,102,12,3,12,14,CF,CHA,NYL,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,32,32,1152,298,11,60,179
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,1,0,5,0,2,0,0
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,18,0,102,12,3,12,14
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,18,0,148,54,8,27,4
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,22,0,372,100,11,32,30
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,26,0,225,55,11,17,14
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,29,21,602,196,51,78,11
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,30,8,580,163,34,87,17
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,30,24,678,171,36,65,50
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,32,11,623,191,48,65,14
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,32,32,1006,450,39,98,88
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,32,32,1007,365,55,98,46
2,CHA,Y,18,0,102,12,3,12,14,FR,CHA,CLE,2,1,4,4,,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,32,32,1152,298,11,60,179
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,3,0,17,8,0,2,1
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,5,0,18,8,2,0,4
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,12,0,57,17,7,7,2
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,14,14,443,185,9,32,23
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,25,0,201,47,2,9,21
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,30,22,679,253,54,70,44
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,32,0,556,155,24,39,65
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,32,0,598,199,47,82,37
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,32,10,577,150,24,68,24
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,32,18,797,265,32,63,75
1,CLE,Y,32,18,797,265,32,63,75,FR,CLE,ORL,2,1,3,3,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,32,32,705,173,9,41,119
